Designator,Footprint,Quantity,Value,LCSC Part #
"C100, C101, C206, C207, C402",0603,5,1u,
"C102, C103, C104, C105, C107",0805,5,22u,
C106,0402,1,DNP,
"C108, C201, C202, C203, C204, C210, C211, C212, C301, C302, C306, C311, C313, C314, C401, C406",0402,16,100n,
"C200, C308, C309, C310, C312, C315, C400",0603,7,10u,
"C205, L100, L200",0402,3,10n,
"C208, C209",0402,2,10p,
"C300, C304, C307, C404",0402,4,150p,
"C303, C305, C403, C405",0402,4,1n,
D100,0603,1,GREEN,
D200,LED_Avago_PLCC4_3.2x2.8mm_CW,1,ASMB-MTB1-0A3A2,
"D201, D202, D203, D204, D205, D300, D400",D_SOD-323,7,"PESD3V3L1BA,115",
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J200,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J201,PinHeader_2x05_P1.27mm_Vertical_SMD,1,2x5 1.27mm,
"J300, J400",AMPHENOL-BNC-031-5640-1010,2,031-5640-1010,
L101,MWSA0603S,1,15u,
L201,CMC-1206,1,CMF3216F-900-2P-T,
R100,0805,1,10R,
R101,0402,1,100k,
"R102, R304, R403",0402,3,22k,
"R103, R104, R105, R207, R208, R209, R300, R306, R307",0402,9,1k,
"R200, R202, R203, R401",0402,4,10k,
"R201, R309, R400",0402,3,0R,
R204,0402,1,1k5,
"R205, R206",0402,2,5k1,
"R210, R211, R212, R213, R308, R405",0402,6,49R9,
"R301, R302",0402,2,2M2,
"R303, R402",0402,2,6k8,
"R305, R404",0402,2,12k,
U100,SOT-89-3,1,HT7533-1,
U101,SOT-23-5,1,TLV62569DBV,
"U102, U300, U301, U401",SOT-23-5,4,MCP6001T-E/OT,
U200,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT6,
U201,SOT-23-6,1,USBLC6-2SC6,
U302,SOT-23,1,REF3033AIDBZT,
U303,VSSOP-10,1,ADC141S626CIMM_NOPB,
U400,VSSOP-10,1,DAC7563SDGSR,
Y200,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
