Designator,Mid X,Mid Y,Rotation,Layer
C100,152.21,-94.6,270.0,top
C101,150.7,-94.6,270.0,top
C102,129.55,-103.0,180.0,top
C103,126.5,-106.5,90.0,top
C104,142.0,-80.605,270.0,top
C105,148.5,-80.605,270.0,top
C107,129.3,-116.3,180.0,top
C108,133.75,-111.75,270.0,top
C200,125.5,-87.75,90.0,top
C201,126.75,-88.02,90.0,top
C202,135.02,-97.0,180.0,top
C203,138.2,-88.2,270.0,top
C204,130.0,-85.25,0.0,top
C205,126.75,-92.5,90.0,top
C206,125.5,-92.75,90.0,top
C207,124.0,-92.75,90.0,top
C208,123.0,-90.0,180.0,top
C209,120.75,-90.0,0.0,top
C210,151.9,-88.1,180.0,top
C211,106.8,-89.62,90.0,top
C212,117.7,-80.0,180.0,top
C300,120.25,-116.3625,90.0,top
C301,122.25,-116.3625,270.0,top
C302,120.0,-110.8,0.0,top
C303,115.25,-115.0,270.0,top
C304,111.8,-112.0,180.0,top
C305,115.75,-113.5,0.0,top
C306,117.6,-110.8,270.0,top
C307,115.0,-107.75,0.0,top
C308,107.1,-98.95,180.0,top
C309,107.1,-100.7,180.0,top
C310,111.75,-105.475,90.0,top
C311,113.0,-105.77,90.0,top
C312,111.75,-102.045,270.0,top
C313,113.0,-101.75,270.0,top
C314,113.775,-99.75,180.0,top
C315,113.5,-98.25,180.0,top
C400,141.025,-99.0,180.0,top
C401,141.395,-100.3,180.0,top
C402,139.75,-102.025,270.0,top
C403,143.89,-109.65,0.0,top
C404,145.41,-113.65,270.0,top
C405,141.91,-111.65,180.0,top
C406,139.91,-114.65,90.0,top
D100,154.0,-81.0875,90.0,top
D200,110.0,-89.35,0.0,top
D201,128.8,-70.85,0.0,top
D202,128.74,-74.7,0.0,top
D203,126.25,-78.5,0.0,top
D204,122.7,-78.5,180.0,top
D205,119.2,-78.5,180.0,top
D300,120.3,-119.3625,0.0,top
D400,144.85,-119.0,0.0,top
J200,160.75,-90.8,90.0,top
J201,123.2,-72.75,270.0,top
J300,119.25,-126.065,180.0,top
J400,143.8,-126.065,180.0,top
L100,151.46,-92.6,180.0,top
L101,145.25,-75.25,0.0,top
L200,124.75,-94.75,180.0,top
L201,147.5,-90.3,180.0,top
R100,132.2,-102.3,90.0,top
R101,145.0,-83.0,0.0,top
R102,143.0,-83.0,0.0,top
R103,154.0,-83.9,90.0,top
R104,132.25,-114.75,0.0,top
R105,129.75,-114.75,0.0,top
R200,131.7,-85.0,90.0,top
R201,120.75,-91.25,180.0,top
R202,138.3,-95.09,90.0,top
R203,128.4,-96.4,270.0,top
R204,143.1,-89.4,270.0,top
R205,160.0,-97.0,180.0,top
R206,160.0,-84.6,180.0,top
R207,113.8,-87.1,180.0,top
R208,113.8,-88.6,180.0,top
R209,113.8,-90.1,180.0,top
R210,128.2,-76.25,180.0,top
R211,125.7,-80.0,180.0,top
R212,123.19,-80.0,0.0,top
R213,119.7,-80.0,0.0,top
R300,119.25,-117.3625,270.0,top
R301,121.3,-116.3625,270.0,top
R302,122.75,-114.6125,0.0,top
R303,116.75,-114.5,0.0,top
R304,114.25,-114.0,270.0,top
R305,112.75,-113.5,0.0,top
R306,113.5,-108.25,270.0,top
R307,116.5,-108.25,270.0,top
R308,109.35,-99.95,90.0,top
R309,115.5,-99.1,270.0,top
R400,142.9,-96.2,270.0,top
R401,142.45,-108.6,0.0,top
R402,141.91,-109.65,180.0,top
R403,143.41,-111.15,90.0,top
R404,144.91,-111.65,180.0,top
R405,143.8,-116.85,90.0,top
U100,130.5,-106.5,180.0,top
U101,145.25,-80.605,0.0,top
U102,131.0,-112.25,180.0,top
U200,132.5,-91.25,270.0,top
U201,151.95,-90.3,0.0,top
U300,120.0,-113.3625,270.0,top
U301,115.0,-111.0,180.0,top
U302,108.8,-105.3,180.0,top
U303,115.25,-103.75,0.0,top
U400,142.4,-104.4,0.0,top
U401,142.66,-114.15,0.0,top
Y200,121.75,-87.5,180.0,top
